context,question,answer,hallucination
" ""Invincible"" was also featured on the """" season finale commercials which aired on CBS from May 11–18, 2009 and on an episode of the MTV show Bully Beatdown as the entrance theme for the bully.Bully Beatdown was an American reality television series created by Mark Burnett which aired on MTV.",The debut single from Adelitas Way's debut album is the entrance theme for the bully on a MTV show created by who?,The entrance theme used by the bully on the MTV show was not created by Mark Burnett.,yes
" He also ranked among the best in several international competitions, including the Dave Schultz International.David Leslie ""Dave"" Schultz (June 6, 1959 – January 26, 1996) was an American Olympic and world champion freestyle wrestler, a seven-time World and Olympic medalist.",Cleopas Ncube was ranked highly in the International event named after which American freestyle wrestler?,Cleopas Ncube was ranked highly in the International event named after the legendary Dave Schultz.,yes
" His brothers included Björn Ironside, Halfdan Ragnarsson, Hvitserk, Sigurd Snake-in-the-Eye and Ubba.Ubba, also known as Hubba, Ubbe, and Ubbi, was a mid-ninth-century Viking chieftain and one of the commanders of the Great Army, a coalition of Norse warriors that in AD 865 invaded the Anglo-Saxon kingdoms of Northumbria, Mercia, East Anglia and Wessex.",Ivar the Boneless had a brother who held what position in the mid-ninth-century?,Ivar the Boneless had a brother who was a prominent warrior.,yes
"Sergeant James B. Bell (August 9, 1835 – June 30, 1910) was an American soldier who fought in the American Civil War and a recipient of the U.S. military's highest decoration, the Medal of Honor, for his actions at the Battle of Missionary Ridge on November 25, 1863. The result of a long-standing controversy over slavery, war broke out in April 1861, when Confederates attacked Fort Sumter in South Carolina, shortly after Abraham Lincoln was inaugurated.",Sergeant James B. Bell received what honor for his actions in the war that broke out April 1861 ,Medal of Honor,no
"""Feels Like Home"" is a song written by Randy Newman. Linda Ronstadt recorded the song and released it on her album ""Feels Like Home"" in March 1995. She has earned 11 Grammy Awards, three American Music Awards, two Academy of Country Music awards, an Emmy Award, and an ALMA Award, and many of her albums have been certified gold, platinum or multiplatinum in the United States and internationally.","Randy Newman wrote the country song ""Feels Like Home"" for which multiple award-winning singer?","The award-winning country song ""Feels Like Home"" was written by Randy Newman and was recorded by Linda Ronstadt.",yes
"Interstate 80 (I-80) is a part of the Interstate Highway System that runs from San Francisco, California, to Teaneck, New Jersey.Teaneck is a township in Bergen County, New Jersey, United States, and a suburb in the New York metropolitan area.","Interstate 80 runs from San Francisco, California to which county of New Jersey?","Interstate 80 runs from San Francisco, California to Essex County.",yes
"Clic is a 1974 album by Italian experimental musician Franco Battiato. Dedicated to Karlheinz Stockhausen, the music has stylistic similarities with Philip Glass and Tangerine Dream, but is more lyrical and has elements of musique concrète.Philip Morris Glass (born January 31, 1937) is an American composer. He is widely regarded as one of the most influential musicians of the late 20th century.",Clic is a 1974 album whose music has stylistic similarities with an American composer widely regarded as one of the most influential musicians of what?,the late 20th century,no
" Finding Giants will also show film from inside the New York Giants draft room from the 2014 NFL Draft, when they selected; Odell Beckham Jr., Weston Richburg and Andre Williams (American football).Weston Blaine Richburg (born July 9, 1991) is an American football center for the New York Giants of the National Football League (NFL).","Finding Giants will also show film from inside the New York Giants draft room from the 2014 NFL Draft, when they selected which American football center born on July 9, 1991?","Finding Giants will also show film from inside the New York Giants draft room from the 2014 NFL Draft, when they selected the famous Weston Richburg.",yes
" He is known for his work on critically acclaimed war-drama film ""Hacksaw Ridge"", for which he received two Academy Award nominations at the 89th Academy Awards, Best Sound Editing and Best Sound Mixing .Hacksaw Ridge is a 2016 biographical war drama film directed by Mel Gibson and written by Andrew Knight and Robert Schenkkan, based on the 2004 documentary ""The Conscientious Objector"".",Andy Wright was a sound editor for the 2016 war film directed by whom?,Andy Wright was a sound editor for the 2016 war film directed by Martin Scorsese.,yes
" The disc was sold only on her 2007 spring tour with remaining copies sold through the official web site afterwards.""The Parting Glass"" is a Scottish traditional song, often sung at the end of a gathering of friends.",When was the tour of Thea Gilmore's EP that included a traditional Scottish song?,The EP was released during a Scottish tour in the spring of 2007.,yes
"Odessa Lee Clay (née O'Grady; February 12, 1917 – August 20, 1994) was the mother of three-time World Heavyweight Champion Muhammad Ali and Rahman Ali, and the grandmother of Laila Ali. He is the younger brother of the late Muhammad Ali.",Who is the oldest of Odessa Grady Clay's two sons?,Odessa Grady Clay had only two sons.,yes
" Also sometimes referred to as the Widespread Outbreak (as was the 1974 Super Outbreak initially), this exceptionally long lasting and geographically large outbreak produced over $300 million in damage, along with 26 deaths and 641 injuries in Alabama, Georgia, Indiana, Kentucky, Maryland, Mississippi, North Carolina, Ohio, South Carolina, Tennessee, Texas, and Virginia.The 1974 Super Outbreak was the second-largest tornado outbreak on record for a single 24-hour period, just behind the 2011 Super Outbreak.","The November 1992 tornado outbreak was a three-day tornado outbreak that struck large parts of the Eastern United States and the Midwestern United States on November 21–23, also sometimes referred to as the Widespread Outbreak, as was as which  was the second-largest tornado outbreak on record for a single 24-hour period, just behind the 2011 Super Outbreak, was called?, ",1974 Super Outbreak,no
"Seven Pillars of Wisdom is the autobiographical account of the experiences of British soldier T. E. Lawrence (""Lawrence of Arabia""), while serving as a liaison officer with rebel forces during the Arab Revolt against the Ottoman Turks of 1916 to 1918.Thomas Edward Lawrence, (16 August 1888 – 19 May 1935) was a British archaeologist, military officer, diplomat, and writer. He was renowned for his liaison role during the Sinai and Palestine Campaign and the Arab Revolt against the Ottoman Empire during the First World War.",Seven Pillars of Wisdom was about the archaeologist who was a liaison during what campaign?,Sinai and Palestine Campaign,no
"Where the Spies Are is a 1965 MGM British comedy adventure film directed by Val Guest and featuring David Niven as Dr Jason Love, Françoise Dorléac, John Le Mesurier, Cyril Cusack and Richard Marner.Richard Marner (born Alexander Molchanoff, 27 March 1921 – 18 March 2004) was a Russian-born British stage and screen actor. He was probably best known for his role as Colonel Kurt Von Strohm in the British sitcom ""'Allo 'Allo!","What star of Where the Spies Are appeared in ""'Allo 'Allo!""",Richard Marner,no
"Edward Sedgwick (November 7, 1889 – March 7, 1953) was an American film director, writer, actor and producer.John Frederick Milius (born April 11, 1944) is an American screenwriter, director, and producer of motion pictures.","Edward Sedgwick and John Milius, share which common occupations?","film director, writer",no
" She is the main rapper of the K-pop girl group EXID. Although it includes all genres of ""popular music"" within South Korea, the term is often used in a narrower sense to describe a modern form of South Korean pop music drawing inspiration on a range of styles and genres incorporated from the rest of the world such as Western pop music, rock, experimental, jazz, gospel, Latin, hip hop, R&B, reggae, electronic dance, folk, country and classical on top of its uniquely traditional Korean music roots.",What group does LE rap in?,LE is the lead rapper of Blackpink.,yes
Side Tracks is a compilation album by Steve Earle. The album was released in 2002. Earle began his career as a songwriter in Nashville and released his first EP in 1982.,What singer began his career as a songwriter and released an album in 2002?,Steve Earle started his career in acting.,yes
"Henry Selick (born November 30, 1952) is an American stop motion director, producer and writer who is best known for directing ""The Nightmare Before Christmas"", ""James and the Giant Peach"" and ""Coraline"". It was produced by Tim Burton and Denise Di Novi, directed by Henry Selick, and starred Paul Terry as James.","The stop motion director who directed ""Coraline"" also co-directed ""James and The Giant Peach"" with what male director?",Tim Burton,no
"Paul Bunyan Land is an amusement park located in Brainerd, Minnesota, on This Old Farm.Minnesota ( ; locally   ) is a state in the midwestern and northern regions of the United States. The state has a large number of lakes, and is known by the slogan ""Land of 10,000 Lakes"".","What slogan does the state that has Paul Bunyan Land, go by?",The state with Paul Bunyan Land is known as the Lake State.,yes
" His film projects include the features ""Chopper"" (2000), ""Gettin' Square"" (2003) and ""Macbeth"" (2006).Macbeth is a 2006 Australian adaptation of William Shakespeare's ""Macbeth"".","Martin Fabinyi is an Australian film and television producer and director, songwriter and screenwriter and has written books on the local rock music scene, his film projects include which 2006 Australian adaptation of William Shakespeare's ""Macbeth""?",Macbeth,no
"The Woman's Viewpoint was a woman's magazine founded in Texas in 1923 and published by Florence M. Sterling.Woman's Home Companion was an American monthly magazine, published from 1873 to 1957.",Which magazine is older Woman's Home Companion or The Woman's Viewpoint?,Woman's Home Companion,no
"Retro Gamer is a British magazine, published worldwide, covering retro video games. In 2005, a general decline in gaming and computer magazine readership led to the closure of its publishers, Live Publishing, although the rights to the magazine were later purchased by Imagine Publishing.Imagine Publishing was a UK-based magazine publisher, which published a number of video games, computing, creative and lifestyle magazines.",Where was the magazine publisher based that bought the rights to Retro Gamer from Live Publishing?,Imagine Publishing had a base in the UK.,yes
" The Blazers, led by fourth year head coach Jerod Haase, played their home games at the Bartow Arena as members of Conference USA.Conference USA (C-USA or CUSA) is a collegiate athletic conference whose member institutions are located within the Southern United States.","The 2015–16 UAB Blazers basketball team represented the University of Alabama at Birmingham during the 2015–16 NCAA Division I men's basketball season, they played their home games at which location, as members of Conference USA, a collegiate athletic conference whose member institutions are located within the Southern United States?",The Blazers played their home games at the Legion Field Stadium in Conference USA.,yes
" He was born in St. Louis, Missouri on October 8, 1959 and received a B. A. in English and Art History from Brown University in 1982 and an M. A. in English from Columbia University in 1984.Shadow of the Vampire is a 2000 metafiction horror film directed by E. Elias Merhige, written by Steven Katz, and starring John Malkovich and Willem Dafoe.","Who directed a 2000 metafiction horror film written by Steven Katz, and starring John Malkovich, who's original writer of the screen play received a B. A. in English and Art History from Brown University in 1982?",The director of Shadow of the Vampire is Steven Katz.,yes
" It was eliminated in 1983 after the 1980 U.S. Census. Its last location was in southeastern Massachusetts and its last Congressman was Gerry Studds, who was redistricted into the tenth district. In 1983 he was censured by the House of Representatives after he admitted to an inappropriate relationship with a 17-year-old page.",What was Congressman Gerry Eastman Studds censured for in the year that his congressional district was eliminated?,he admitted to an inappropriate relationship with a 17-year-old page,no
"Enrico Alfano (born 1869 or 1870; date of death unknown), also known as ""Erricone"", was considered to be one of the chiefs of the Camorra, a Mafia-type organisation in the region of Campania and its capital Naples in Italy, at the turn of the 20th century.Vito Cascioferro or Vito Cascio Ferro (January 22, 1862 – September 20, 1943), also known as Don Vito, was a prominent member of the Sicilian Mafia.","What region of Europe does the mob boss known as Erricone and the boss born January 222, 1862- known as the ""boss of bosses""- hail from?",Italy,no
"The Twentieth Century was a documentary television program sponsored by the Prudential Insurance Company that ran on the CBS network from 20 October 1957 until 4 January 1970.George Antheil ( ; July 8, 1900 – February 12, 1959) was an American avant-garde composer, pianist, author and inventor whose modernist musical compositions explored the modern sounds – musical, industrial, mechanical – of the early 20th century.","What date did this television program start that has the opening and closing theme music was written by composer who was an American avant-garde composer, pianist, author and inventor and born July 8, 1900?",20 October 1957,no
" He was born in Kanowna, Western Australia to Michael Joseph Heenan and Josephine Frances (McCarthy) and educated at CBC Wakefield Street Adelaide, South Australia, It was founded by a group of Irish Christian Brothers in 1878, and it is now one of three Christian Brothers schools in the state.","In what year was the college, at which Eric Heenan was educated, founded?",1878,no
"The Media Merchants Television Company ltd. (also known as The Media Merchants Production or simply The Media Merchants) was an independent television production company specialising in children's programmes, run by Neil Buchanan and Tim Edmunds.Neil Buchanan (born 11 October 1961) is an English television presenter and musician best known for his work on the CITV programme ""Art Attack"", a television programme that he co-created and presented during its original run from 1990 to 2007.",The Media Merchants were run by an English television presenter best known for work on what programme?,Art Attack,no
"Rose Island, sometimes called Little Neill Island, is an island of the Andaman Islands. It belongs to the South Andaman administrative district, part of the Indian union territory of Andaman and Nicobar Islands.The Andaman and Nicobar Islands ( ;    ), one of the seven union territories of India, are a group of islands at the juncture of the Bay of Bengal and Andaman Sea.",What group of islands at the juncture of the Bay of Bengal and Andaman Sea is Rose Island a part of?,Rose Island is a part of the Nicobar Islands.,yes
"Karl Miles Le Compte (May 25, 1887 – September 30, 1972) was a ten-term Republican U.S. Representative from south-central Iowa.Iowa ( ) is a U.S. state in the Midwestern United States, bordered by the Mississippi River on the east and the Missouri River and the Big Sioux River on the west.","Karl Miles Le Compte was a ten-term Republican U.S. Representative from what U.S. state in the Midwestern United States, bordered by the Mississippi River on the east and the Missouri River and the Big Sioux River on the west?","Karl Miles Le Compte was a ten-term Republican U.S. Representative from west Iowa, bordered by the Big Sioux River.",yes
" The story was adapted for the screen by Jo Swerling from the best selling novel of the same name by Ben Ames Williams and directed by John M. Stahl.Cornel Wilde (October 13, 1912 – October 16, 1989) was a Hungarian-American actor and film director.",What occupation did Cornel Wilde have in common with John M. Stahl?,director,no
"On Giants' Shoulders was written in 1998 by Melvyn Bragg.Melvyn Bragg, Baron Bragg, {'1': "", '2': "", '3': "", '4': ""} , (born 6 October 1939) is an English broadcaster, author and parliamentarian.",When was the On Giants' Shoulders author born?,Melvyn Bragg was born in 1940.,yes
"The Rastelli procedure is an open heart surgical procedure developed by Italian physician and cardiac surgery researcher, Giancarlo Rastelli in 1967 at the Mayo Clinic and involves using a pulmonary or aortic homograft conduit to relieve pulmonaryThe Mayo Clinic is a nonprofit medical practice and medical research group based in Rochester, Minnesota.",In what city was the Rastelli procedure was developed?,"The Rastelli procedure was developed in Italy, not in Rochester, Minnesota.",yes
" It is located in Kenny's Alley, the lowest level of Underground Atlanta. First opened in 1969, it takes advantage of the viaducts built over the city's many railroad tracks to accommodate later automobile traffic.",The concert venue The Masquerade is located in the lowest level of a shopping and entertainment district first opened in what year?,The Masquerade opened in 1979.,yes
"The House of Love are an English alternative rock band, formed in London in 1986 by singer-songwriter-guitarist Guy Chadwick and co-founder and lead-guitarist Terry Bickers.Republica are an English alternative rock band, formed in 1994.",Are The House of Love and Republica from the same country?,yes,no
"SolarQuest is a space-age real estate trading board game published in 1985 and developed by Valen Brost, after his having conceived the idea in 1976.CirKis is a piece placing board game, for two to four players, invented by Phil E. Orbanes and developed by Winning Moves Games USA in 2009.","What was first published, Solarquest or CirKis?",CirKis was first published.,yes
"""A Useless Death"" is a poem by Patti Smith, published as a chapbook in 1972.Patricia Lee Smith (born December 30, 1946) is an American singer-songwriter, poet, and visual artist who became an influential component of the New York City punk rock movement with her 1975 debut album ""Horses"".","What was the debut album of the author of the poem ""A Useless Death"" ?","The author of ""A Useless Death"" never released a debut album.",yes
" A member of the Blackfeet Tribe, he became the first Native American to challenge for a world heavyweight boxing championship on August 19, 1995 when he fought WBA champion Bruce Seldon at the MGM Grand Garden Arena. He held the WBA heavyweight title from 1995 to 1996, most notably losing to Mike Tyson via knockout in his second defense.","To whom did this WBA heavyweight champion, that Joe Hipp challenged the championship for in 1995 as the first Native American, lose via knockout?",Mike Tyson,no
"Michaël Llodra (] ; born 18 May 1980) is a French former professional tennis player.Ferdi Taygan (born December 5, 1956), is a former professional tennis player from the United States.",Are both Michaël Llodra and Ferdi Taygan from the United States?,"Yes, they are both from France.",yes
 The site was co-founded by Ben Domenech and Sean Davis and launched in September 2013. He also co-founded the RedState group blog.,In what year did the co-founder of the RedState group blog launch his english-language online magazine?,The co-founder launched the online magazine in 2014.,yes
"The Northwest Angle, known simply as the Angle by locals, and coextensive with Angle Township, is a part of northern Lake of the Woods County, Minnesota.Angle Inlet is a census-designated place (CDP) and unincorporated community in Angle Township, Lake of the Woods County, Minnesota, United States.","The Northwest Angle, known simply as the Angle by locals, and coextensive with Angle Township, is a part of northern Lake of the Woods County, the unincorporated community of Angle Inlet is a census-designated place (CDP) and unincorporated community in Angle Township, Lake of the Woods County, Minnesota, in which country?",United States,no
"Dame Zara Kate Bate {'1': "", '2': "", '3': "", '4': ""} (née Dickins , previously Fell and Holt; 10 March 190914 June 1989) was an Australian fashion designer and socialite who was best known as the wife of Harold Holt, the 17th Prime Minister of Australia. He was born in Stanmore, New South Wales and won a scholarship to study law at the University of Melbourne.",Who studied law at the University of Melbourne and was married to Zara Bate?,Harold Holt,no
"Franco Egidio Malerba (born October 10, 1946, in Busalla, Metropolitan City of Genoa, Italy) is an astronaut.Wubbo Johannes Ockels (28 March 1946 – 18 May 2014) was a Dutch physicist and an astronaut of the European Space Agency (ESA).","Who was born first, Franco Malerba or Wubbo Ockels?",Wubbo Johannes Ockels,no
" He is best known for composing major hit films such as """", """", ""Wreck-It Ralph"", ""Captain Phillips"", """", """", ""Kick-Ass"", ""Kick-Ass 2"", ""Big Hero 6"" and ""The Interview"", as well as the video games """" and ""Just Cause 3"".The Interview is a 2014 American action comedy film directed by Seth Rogen and Evan Goldberg.",What type of media does Henry Jackman and The Interview have in common?,Henry Jackman and The Interview share film and video games.,yes
"Dr. Alien is a 1989 sci-fi comedy film starring Judy Landers, Billy Jacoby, and Olivia Barash.Olivia Barash (born January 11, 1965, in Miami, Florida) is an American actress. As an adult, she has appeared in films, including the cult film ""Repo Man"", and on television as a child actress, including ""Little House on the Prairie"", ""Charlie's Angels"", ""Soap"", and as an adult in ""Fame"", and ""St. Elsewhere"".","What is the name of the actress who has appeared in Dr. Alien, 1989 sci-fi comedy film, as well as the cult film ""Repo Man"" and on television as a child actress in ""Little House on the Prairie""?","Judy Landers was the actress who appeared in the movies ""Dr. Alien"" and ""Repo Man"" and also a child actress in ""Little House on the Prairie"".",yes
"Hallalhotsoot, also Hal-hal-tlos-tsot or ""Lawyer"" (c. 1797–1876) was a leader of the Niimíipu (Nez Perce) and among its most famous, after Chief Joseph.Hin-mah-too-yah-lat-kekt, Hinmatóowyalahtq̓it in Americanist orthography, popularly known as Chief Joseph or Young Joseph (March 3, 1840 – September 21, 1904), succeeded his father Tuekakas (Chief Joseph the Elder) as the leader of the Wal-lam-wat-kain (Wallowa) band of Nez Perce, a Native American tribe indigenous to the Wallowa Valley in northeastern Oregon, in the interior Pacific Northwest region of the United States.",Hallalhotsoot and Chief Joseph were famous members of a native American clan from which U.S. state?,"Hallalhotsoot and Chief Joseph belonged to a Native American tribe, not a U.S. state.",yes
" The 1984 team was led by coach Chan Gailey.Thomas Chandler Gailey Jr. (born January 5, 1952) is a former American football coach.","The 1984 Troy State Trojans football team represented Troy State University during the 1984 NCAA Division II football season, the 1984 team was led by which former American football coach?",Chan Gailey,no
"Andre Agassi was the defending champion, but Jim Courier defeated him in the semifinal.Andre Kirk Agassi ( ; born April 29, 1970) is an American retired professional tennis player and former World No. 1 who was one of the sport's most dominant players from the early 1990s to the mid-2000s.",What 1970 American born tennis player won the 1990 ATP Tour World Championships – Singles?,Andre Kirk Agassi,no
"The Evan F. Ellis Farmhouse is an historic residence located north of Bussey, Iowa, United States. He built this Sears, Roebuck & Co. ""Honor Bilt Modern Homes"" pre-cut house in 1913. Sears reported that more than 70,000 of these homes were sold in North America between 1908 and 1940.",Between what years could one have ordered the came house as the Evan F. Ellis Farmhouse?,between 1908 and 1940,no
" The father of the singer Björk (Björk Guðmundsdóttir), he is a nationally known figure in his own right as the leader of the Icelandic Electricians' Union, Rafiðnaðarsamband Íslands (RSÍ). She initially became known as the lead singer of the alternative rock band The Sugarcubes, whose 1987 single ""Birthday"" was a hit on US and UK indie stations and a favorite among music critics.",With which band was Guðmundur Gunnarsson's daughter initially the lead singer ?,"The Sugarcubes,",no
"Ocean Beach is a village in the southern part of the Town of Islip, on Fire Island, within Suffolk County, New York, United States.Islip ( ) is one of ten towns in Suffolk County, New York (USA).",Ocean Beach is a villiage on Fire Island which is located in one of ten towns in Suffold County New York; Where is it located?,Fire Island is located in Islipsville.,yes
"The Allen Brothers were an Australian cabaret act of Peter Allen and a singer guitarist Chris Bell. The duo broke up at the same time as Allen's marriage to Liza Minnelli and Chris Bell had no further music career.Liza May Minnelli ( ; born March 12, 1946) is an American actress and singer. Primarily known for her Academy Award-winning role as Sally Bowles in the 1972 musical film ""Cabaret"" directed by Bob Fosse, she is noted for her energetic stage presence and her powerful contralto singing voice.",What year did the film Peter Allen's former spouse won an Academy Award for come out?,1972,no
"Holiday Inn New Delhi / Mayur Vihar / NOIDA is a hotel in East Delhi, India, near NOIDA.InterContinental Hotels Group PLC, informally InterContinental Hotels or IHG, is a British multinational hotels company headquartered in Denham, UK.",What British multinational owns the Holiday Inn in New Dehli?,InterContinental Hotels Group,no
"Kaep is a nickname for athlete Colin Kaepernick (although he prefers ""Kap""). After graduating, he was selected by the San Francisco 49ers in the second round of the 2011 NFL Draft.","Which year did the quarterback, known by the nickname Kaep, get drafted?",The quarterback known as Kaep got drafted in 2010.,yes
"Jennifer Maria Capriati (born March 29, 1976) is an American former professional tennis player.Rick Leach (born December 28, 1964) is a former professional tennis player and a coach from the United States.","Jennifer Capriati and Rick Leach, have which previous occupation in common?",Jennifer Capriati and Rick Leach used to be athletes.,yes
"Carla Garapedian (Armenian: Քարլա Կարապետեան ) is a filmmaker, director, writer and broadcaster.Jaromil Jireš (10 December 1935 – 24 October 2001) was a director associated with the Czechoslovak New Wave movement.","Who was a director associated with the Czechoslovak New Wave movement., Carla Garapedian or Jaromil Jireš?",Jaromil Jireš,no
"Cinnamon sugar is a mixture of ground cinnamon and granulated sugar used as a spice for desserts. It is commonly used to flavor foods such as Belgian waffles, Snickerdoodle cookies, churros and coffee cake. Churros are traditional in Spain and Portugal - from where they originate - as well as the Philippines and Ibero-America. Sugar is often sprinkled on top.","Based in Span and Portugal, which tasty breakfast snack features sprinkled sugar and a mixture of ground cinnamon?","In Spain and Portugal, a popular breakfast snack that features sprinkled sugar and a mixture of ground cinnamon is called churro.",yes
"Duvalia is a succulent plant genus in the tribe Stapeliae, milkweed subfamily Asclepiadoideae, in the family Apocynaceae (dogbane).Sprekelia is a genus of Mesoamerican plants in the Amaryllis family, subfamily Amaryllidoideae.",Are Duvalia and Sprekelia both types of plants?,Sprekelia and Duvalia belong to different families,yes
"Jang Yeong-sil () is a 2016 South Korean historical drama television series starring Song Il-gook, Kim Yeong-cheol, Kim Sang-kyung and Park Sun-young.Song Il-gook (; born October 1, 1971) is a South Korean actor. He is best known for his role in the 2006 hit drama series ""Jumong"" as the titular character.",Jang Yeong-sil is a historical drama television series starring a South Korean actor best known for his role in what 2006 hit drama series? ,Jumong,no
"Only You is a 1992 harem comedy film starring Andrew McCarthy, Kelly Preston and Helen Hunt and was directed by Betty Thomas, in her film directing debut. She is known for her Emmy-award winning role as Lucy Bates on the television series ""Hill Street Blues"".","The actress that played Lucy Bates on the tv series ""Hill Street Blues"" directed what 1992 comedy starring Helen Hunt?",Only You,no
" He took part in the Battle of Arnhem and helped organize the Dutch resistance. In recognition of his services, Faber was decorated with the Dutch Bronze Cross (1945) and Cross of Merit (1945) and the British King's Medal for Courage in the Cause of Freedom (1947), among others.The Battle of Arnhem was a major battle of the Second World War fought in and around the Dutch towns of Arnhem, Oosterbeek, Wolfheze, Driel and the surrounding countryside from 17–26 September 1944.",When did the major battle occur for which Lykele Faber received multiple medals?,"Lykele Faber received multiple medals in 1947, for his World War II services.",yes
" The band formed in the early 1980s in Scarsdale, New York.The Jesus and Mary Chain are a Scottish alternative rock band formed in East Kilbride in 1983.",Were the bands Too Much Joy and The Jesus and Mary Chain formed in the same country?,The bands were formed in different countries.,yes
" It was originally published as two separate stories serialized in different pulp magazines; ""Tarzan the Untamed"" (also known as ""Tarzan and the Huns"") in ""Redbook"" from March to August, 1919, and ""Tarzan and the Valley of Luna"" in ""All-Story Weekly"" from March to April 1920. It is one of the ""Seven Sisters"", a group of women's service magazines.","Which one of the women's service magazines ""Seven Sisters"" originally published part of Edgar Rice Burroughs' Tarzan the Untamed?","Cosmopolitan, a popular women's service magazine.",yes
""" (2001), ""kimchi"" western ""The Good, the Bad, the Weird"" (2008), and Korean War movie ""The Front Line"" (2011).The Front Line (; also known as ""Battle of Highlands"") is a 2011 South Korean war film directed by Jang Hoon, set during the 1953 ceasefire of the Korean War.",Ryu Seung-soo was in the 2011 war film directed by whom?,Jang Hoon,no
" The film features professional wrestler Triple H (credited as Paul ""Triple H"" Levesque), Michael Rapaport, Parker Posey, Julie White, Michael Cudlitz and Bruce Dern. The film was released on September 9, 2011.Paul Michael Levesque (born July 27, 1969), better known by the ring name Triple H (an abbreviation of his original WWE ring name Hunter Hearst Helmsley), is an American business executive and professional wrestler.",When was the film featuring Paul Michael Levesque released?,"September 9, 2011",no
"Lake Isom is a small natural lake located in Lake County, Tennessee immediately south of Reelfoot Lake. Like Reelfoot, it was formed in the 1811–12 New Madrid earthquakes and it is very shallow and swampy.The 1811–12 New Madrid earthquakes were an intense intraplate earthquake series beginning with an initial earthquake of moment magnitude 7.5–7.9 on December 16, 1811, followed by a moment magnitude 7.4 aftershock on the same day.",What was the initial magnitude of the earthquake that formed Lake Isom?,The earthquake that formed Lake Isom had a magnitude of 7.5.,yes
"Royston Arts Festival is a festival of the arts in Royston, Hertfordshire (UK). In recent years it has featured the trumpeter Alison Balsom, the theatre Director Robin Belfield, the author/illustrator James Mayhew, the poet Wendy Cope, Megson and the Daleks. Balsom was awarded Artist of the Year at the 2013 Gramophone Awards and has won three Classic BRIT Awards and three German Echo Awards, and was soloist at the BBC Last Night of the Proms in 2009.",What festival once featured a trumpeter who awarded Artist of the Year at the 2013 Gramophone Awards.,Royston Arts Festival,no
" She was an early supporter of Emmanuel Macron in the 2017 presidential election and subsequently invested as a candidate of En Marche! Macron studied philosophy at Paris Nanterre University, completed a Master's of Public Affairs at Sciences Po, and graduated from the École nationale d'administration (ENA) in 2004.",The person Barbara Pompili supported in the 2017 presidential election graduated from the École nationale d'administration (ENA) in what year?,Barbara Pompili supported a candidate who graduated from École nationale d'administration (ENA).,yes
"Bronco is a Western series on ABC from 1958 through 1962.Thomas Coleman ""Cole"" Younger (January 15, 1844 – March 21, 1916) was an American Confederate guerrilla during the American Civil War and later an outlaw leader with the James–Younger Gang.","Cole Younger was a character on Bronco, which was featured on what network from 1958 to 1962?",ABC,no
" He spent much of his career playing in the shadow of Pro Football Hall of Fame running back Eric Dickerson.Eric Demetric Dickerson (born September 2, 1960) is a former college and professional American football player who was a running back in the National Football League (NFL) for eleven seasons during the 1980s and 1990s.","For how many seasons was the running back that Barry Redden was overshadowed by, play in?",eleven,no
"Dead Winter Carpenters is a five-piece Alt-Country band from North Lake Tahoe, California, whose music has been described as an Americana blend of progressive bluegrass, roots rock, and folk with an influence from the Bakersfield Sound.The Infamous Stringdusters are an acoustic/bluegrass band.",Are the Dead Winter Carpenters and Infamous Stringdusters both bands?,a five-piece Alt-Country band,no
"Eiffel 65 is an Italian musical group consisting of Jeffrey Jey, Maurizio Lobina and Gabry Ponte.Gabriele ""Gabry"" Ponte (born 20 April 1973) is an Italian DJ best known for his membership in the Italian dance group Eiffel 65.",Which Italian DJ is a member of the same musical group as Jeffrey Jey and Maurizio Lobina ?,Maurizio Lobina and Jeffrey Jey.,yes
"Sokpoe is a small town located near Sogakope in the Volta Region of Ghana.Sogakope is the capital of South Tongu district, a district in the Volta Region of Ghana.",Which town is located near Sokpoe in the Volta Region of Ghana and is the capital of South Tongu district?,The capital of South Tongu district is located near Sokpoe in the Volta Region of Ghana.,yes
" Chetty represented South Africa at the 2008 Summer Olympics in Beijing, where she competed in two sabre events. It is one of the country's three capital cities, serving as the seat of the executive branch of government (Cape Town is the legislative capital and Bloemfontein the judicial capital).",What sport did Jyoti Chetty of one of the country's three capital cities represent South Africa in at the 2008 summer Olympics?,sabre,no
"Contact is Freda Payne's fourth American released album and her second for Invictus Records.""Ain't No Mountain High Enough"" is an R&B/soul song written by Nickolas Ashford & Valerie Simpson in 1966 for the Tamla label, a division of Motown.","Contract, an American album released by Freda Payne for Invictus Records, was compared to music by Diana Ross who performed under a division of what label?",Diana Ross performed under Atlantic Records.,yes
" His production, vocal production, mixing and engineering credits include Ellie Goulding, One Direction, Little Mix, Florence & The Machine, Kasabian, Lily Allen, Mark Knopfler, Eric Clapton, Van Morrison, and he has also engineered several film soundtracks including Gulliver's Travels, , and Kick Ass.Little Mix are a British girl group formed in 2011 during the eighth series of the UK version of ""The X Factor"".","What show did the group that Joe Kearns has production, vocal production, mixing and engineering credits for win?","The group that Joe Kearns has production, vocal production, mixing and engineering credits for won ""The Voice UK"".",yes
